"","positions",""
"1",34.123286,-118.758541
"2",34.090728,-118.127527
"3",34.136258,-118.026704
"4",33.865395,-118.073148
"5",33.34281,-118.32785
"6",34.13529,-117.91506
"7",34.08529,-117.9609
"8",33.976663,-118.168903
"9",33.9653,-118.1515
"10",33.888014,-118.12965
"11",34.0736,-118.4004
"12",34.147,-117.9709
"13",34.200993,-118.292773
"14",34.12331,-118.671028
"15",33.813317,-118.261154
"16",33.866914,-118.068648
"17",34.09668,-117.71978
"18",34,-118.1598
"19",33.874815,-118.240208
"20",34.097345,-117.906736
"21",33.96057,-118.185349
"22",33.998214,-118.394059
"23",34.02862,-117.81034
"24",33.9401,-118.1332
"25",34.1395,-117.9773
"26",34.078573,-118.043456
"27",33.91918,-118.41647
"28",33.888315,-118.295256
"29",34.17051,-118.289463
"30",34.119363,-117.855059
"31",33.830967,-118.072796
"32",33.914775,-118.348083
"33",33.86224,-118.39952
"34",34.160283,-118.65231
"35",33.977987,-118.213137
"36",34.0197,-117.9587
"37",33.956526,-118.358654
"38",34.106953,-117.935341
"39",34.222261,-118.205369
"40",33.960846,-117.950619
"41",33.9172,-118.012
"42",34.031415,-117.93647
"43",34.10084,-117.76784
"44",33.8536,-118.134
"45",34.713292,-118.15292
"46",33.88856,-118.351813
"47",33.79224,-118.31507
"48",33.924538,-118.202954
"49",34.039034,-118.707992
"50",33.889151,-118.402127
"51",33.988463,-118.187376
"52",34.1528,-118.000482
"53",34.00946,-118.10535
"54",34.052922,-118.143465
"55",33.906763,-118.076549
"56",34.408383,-118.123597
"57",33.800571,-118.390074
"58",33.899015,-118.165152
"59",33.985812,-118.088787
"60",34.042286,-117.756106
"61",33.753146,-118.367459
"62",33.830006,-118.387124
"63",33.756962,-118.353961
"64",33.787794,-118.358128
"65",34.065493,-118.084529
"66",34.10668,-117.80673
"67",34.2819,-118.439
"68",34.114772,-118.089431
"69",34.122671,-118.112911
"70",34.440891,-118.501748
"71",33.927063,-118.063698
"72",34.013666,-118.49375
"73",34.168771,-118.050216
"74",33.803448,-118.168135
"75",34.05195,-118.04673
"76",33.956062,-118.205202
"77",34.108957,-118.156615
"78",34.10723,-118.05785
"79",33.835665,-118.353805
"80",34.003903,-118.230073
"81",34.0203,-117.8653
"82",34.066964,-117.937007
"83",34.093828,-118.381697
"84",34.137015,-118.82193
"85",34.004311,-118.0441
"86",34.0343,-118.2993
"87",33.9786,-118.4156
"88",34.3168,-118.0058
"89",34.0703,-118.2548
"90",34.2505,-118.4338
"91",34.1173,-118.2614
"92",34.0067,-118.3506
"93",34.1002,-118.4595
"94",34.1013,-118.4163
"95",34.0494,-118.3952
"96",34.0298,-118.2117
"97",34.0521,-118.4732
"98",34.0622,-118.3385
"99",34.0423,-118.3875
"100",34.2083,-118.6059
"101",34.0558,-118.368
"102",34.0687,-118.3228
"103",34.0537,-118.4134
"104",0,0
"105",34.2506,-118.6148
"106",34.0403,-118.4042
"107",34.0623,-118.2383
"108",0,0
"109",34.0503,-118.3212
"110",34.0182,-118.3404
"111",34.0479,-118.3804
"112",33.986,-118.4249
"113",34.0407,-118.2468
"114",34.1392,-118.2141
"115",34.0913,-118.2936
"116",34.0782,-118.2606
"117",34.0736,-118.1786
"118",34.0838,-118.2366
"119",34.0967,-118.2427
"120",34.1517,-118.5214
"121",34.0149,-118.2862
"122",34.0149,-118.2862
"123",34.0476,-118.371
"124",33.9602,-118.284
"125",33.9672,-118.2436
"126",34.109,-118.2334
"127",34.0468,-118.3127
"128",34.2794,-118.5022
"129",33.9556,-118.2694
"130",34.0723,-118.3287
"131",33.79002,-118.29785
"132",33.8405,-118.3024
"133",33.7824,-118.3038
"134",34.0422,-118.3042
"135",33.9837,-118.3043
"136",34.1155,-118.1844
"137",34.0703,-118.268
"138",34.0928,-118.3287
"139",34.1177,-118.352
"140",33.9806,-118.3306
"141",34.0272,-118.3176
"142",34.0597,-118.3009
"143",34.0431,-118.3319
"144",34.2011,-118.5011
"145",34.2764,-118.3612
"146",34.0107,-118.3235
"147",34.0737,-118.2118
"148",34.0981,-118.3005
"149",34.0691,-118.2969
"150",34.0523,-118.2395
"151",34.0368,-118.3447
"152",34.1063,-118.2848
"153",33.8993,-118.2977
"154",34.0965,-118.5025
"155",34.0153,-118.4338
"156",33.9797,-118.4657
"157",34.0862,-118.3078
"158",34.0416,-118.3287
"159",34.0595,-118.3491
"160",34.2723,-118.4689
"161",34.0992,-118.2204
"162",34.2358,-118.4849
"163",34.187,-118.3813
"164",34.2381,-118.5301
"165",34.0356,-118.5156
"166",34.2768,-118.4105
"167",34.0761,-118.5653
"168",34.0244,-118.4075
"169",34.2276,-118.4424
"170",33.841369,-118.03234
"171",34.0443,-118.2892
"172",33.9564,-118.4422
"173",33.9754,-118.4192
"174",34.2822,-118.5506
"175",34.0454,-118.4207
"176",34.0411,-118.495
"177",34.2011,-118.5361
"178",34.2011,-118.5361
"179",34.0368,-118.3856
"180",33.7361,-118.2922
"181",34.2575,-118.355
"182",34.149,-118.4514
"183",34.0869,-118.2702
"184",34.0561,-118.3734
"185",34.043,-118.2641
"186",34.0431,-118.343
"187",34.1396,-118.3871
"188",34.2279,-118.3813
"189",34.2596,-118.3083
"190",34.0572,-118.3459
"191",34.3058,-118.4572
"192",34.1495,-118.5506
"193",34.0629,-118.2513
"194",34.1018,-118.3036
"195",34.1502,-118.355
"196",34.1668,-118.3589
"197",33.940571,-118.24285
"198",34.2596,-118.3083
"199",34.0667,-118.1682
"200",34.031,-118.279
"201",34.1867,-118.4138
"202",34.1633,-118.3842
"203",34.1899,-118.4514
"204",33.985,-118.4695
"205",33.9273,-118.2893
"206",34.0037,-118.3002
"207",33.9455,-118.2827
"208",34.0039,-118.2301
"209",34.047,-118.3319
"210",33.9844,-118.3477
"211",33.9386,-118.238
"212",34.0401,-118.3339
"213",34.0325,-118.3627
"214",34.1973,-118.644
"215",34.0412,-118.4426
"216",34.0053,-118.2802
"217",33.9626,-118.3988
"218",34.058,-118.2731
"219",34.0635,-118.4455
"220",34.0419,-118.2326
"221",33.784982,-118.287005
"222",34.0654,-118.3004
"223",34.2049,-118.574
"224",34.1654,-118.609
"225",34.48319,-118.18583
"226",34.4964,-118.3256
"227",34.195275,-118.137227
"228",34.5611,-118.14118
"229",34.3168,-118.0058
"230",34.136258,-118.026704
"231",33.92,-118.2812
"232",33.952724,-118.291904
"233",34.0361,-117.9912
"234",34.13529,-117.91506
"235",34.049732,-117.996732
"236",34.440891,-118.501748
"237",34.147,-117.9709
"238",34.441427,-118.448088
"239",34.489,-118.6257
"240",33.866914,-118.068648
"241",34.09668,-117.71978
"242",34.097345,-117.906736
"243",34.097345,-117.906736
"244",33.9161,-118.3695
"245",33.986,-118.4249
"246",34.689707,-118.288688
"247",34.408383,-118.123597
"248",34.1395,-117.9773
"249",34.097345,-117.906736
"250",33.9244,-117.9889
"251",34.713292,-118.15292
"252",34.023902,-118.172016
"253",34.1382,-118.0742
"254",33.874815,-118.240208
"255",33.963346,-118.018121
"256",33.8895,-118.3309
"257",34.078573,-118.043456
"258",34.6661,-118.3973
"259",33.974459,-118.248129
"260",34.1031,-118.4131
"261",34.119363,-117.855059
"262",33.976114,-117.981631
"263",33.8405,-118.3024
"264",33.914775,-118.348083
"265",34.735,-117.7773
"266",34.2866,-118.4014
"267",34.211341,-118.230652
"268",33.960846,-117.950619
"269",33.7409,-118.3038
"270",34.10084,-117.76784
"271",33.9878,-118.3704
"272",34.67693,-118.44536
"273",34.408383,-118.123597
"274",34.2408,-118.637
"275",33.93807,-118.352575
"276",34.618321,-118.288133
"277",34.52279,-117.98732
"278",34.4441,-117.935
"279",34.50638,-117.90979
"280",34.50583,-117.81784
"281",33.979007,-118.457852
"282",34.1528,-118.000482
"283",34.36811,-118.489037
"284",34.713292,-118.15292
"285",34.004311,-118.0441
"286",34.114772,-118.089431
"287",34.408383,-118.123597
"288",33.77085,-118.37868
"289",34.50583,-117.81784
"290",34.0266,-118.0448
"291",34.378,-118.4675
"292",34.042286,-117.756106
"293",34.60411,-118.239005
"294",33.874815,-118.240208
"295",0,0
"296",33.9121,-118.2373
"297",33.888315,-118.295256
"298",33.874815,-118.240208
"299",33.9781,-117.88749
"300",34.0592,-117.8426
"301",34.1378,-118.0988
"302",34.4186072,-118.4231377
"303",33.3879,-118.4163
"304",34.013666,-118.49375
"305",34.411385,-118.540086
"306",34.441427,-118.448088
"307",34.7514,-118.2523
"308",34.05195,-118.04673
"309",34.06251,-118.090347
"310",34.004311,-118.0441
"311",34.7514,-118.2523
"312",34.39048,-118.57372
"313",34.5579,-117.9582
"314",34.0484,-118.0983
"315",34.278,-118.60147
"316",34.445,-118.6576
"317",34.465755,-118.553789
"318",34.045288,-117.943675
"319",33.988047,-118.370361
"320",33.96807,-118.225072
"321",34.7514,-118.2523
"322",33.821684,-118.292572
"323",34.04984,-118.45238
"324",34.031415,-117.93647
"325",33.874815,-118.240208
"326",33.977272,-118.066363
"327",33.7683,-118.3495
"328",34.1973,-118.644
"329",33.993396,-118.465193
"330",34.004311,-118.0441
"331",34.004311,-118.0441
"332",33.91613,-118.23146
"333",33.9177,-118.3838
